query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,253,Carol,180,True,accepted,megaloc+mapclosures,0.9149979978443838,True,8,8,0.3385631612058546,0.4900588787439201
Alpha,254,Carol,179,True,accepted,megaloc+mapclosures,3.007955432814487,True,7,7,0.34513157140294815,0.4698590592630328
Alpha,255,Bob,189,True,accepted,mapclosures,15.614915160667776,False,8,7,0.33936183268351666,0.6203761268262357
Alpha,260,Carol,296,False,mapclosures_no_pose,megaloc,13.713635314768531,False,13,5,,
Alpha,262,Carol,185,True,accepted,mapclosures,3.8662139906549218,True,8,8,0.34343481871859505,0.49346150515285353
Alpha,269,Bob,191,True,accepted,mapclosures,13.154923491256499,False,7,6,0.3319156306576714,0.6535209159619846
Alpha,269,Carol,152,True,accepted,megaloc,5.934703119732245,True,11,11,0.34566341795499816,0.5286354792318755
Alpha,270,Bob,185,False,mapclosures_no_pose,megaloc,10.947201996365765,False,4,2,,
Alpha,270,Carol,162,True,accepted,megaloc+mapclosures,5.15918120634725,True,8,8,0.3298317451379451,0.6138719107095403
Alpha,271,Alpha,130,False,mapclosures_no_pose,megaloc,34.1337447882226,False,3,0,,
Alpha,276,Bob,189,True,accepted,mapclosures,12.152634529109973,False,7,6,0.33396938536586146,0.6622559187468707
Alpha,276,Carol,149,True,accepted,megaloc,10.580281468639944,False,16,13,0.3424131347200607,0.5256704980842912
Alpha,277,Bob,184,False,mapclosures_no_pose,megaloc,12.904885173515947,False,9,3,,
Alpha,277,Carol,166,True,accepted,megaloc+mapclosures,4.993111269829018,True,13,13,0.33008852227092833,0.6063410791650256
Alpha,278,Alpha,182,True,accepted,megaloc,10.023987473143482,False,9,8,0.3116730898738827,0.6523661134864845
Alpha,279,Carol,164,True,accepted,megaloc+mapclosures,3.427961114375042,True,10,9,0.3327254077758567,0.605859479753285
Alpha,280,Bob,194,True,accepted,megaloc+mapclosures,13.478406156818275,False,11,10,0.3290540349034952,0.5890716261912081
Alpha,280,Bob,185,False,mapclosures_no_pose,megaloc,13.91552938584973,False,8,3,,
Alpha,281,Alpha,188,True,accepted,mapclosures,8.357950523784409,True,9,9,0.316277884003174,0.733756949960286
Alpha,281,Alpha,182,True,accepted,megaloc,7.4752851302307635,True,16,14,0.31397656543840696,0.687450357426529
Alpha,282,Carol,177,True,accepted,mapclosures,2.183570628092054,True,6,6,0.343653813787421,0.46619246861924685
Alpha,282,Carol,163,True,accepted,megaloc,4.32808018682219,True,17,15,0.3399466965202352,0.5259481037924152
Alpha,286,Alpha,197,True,accepted,mapclosures,3.086270644666692,True,10,10,0.28003988137148633,0.7715827338129496
Alpha,286,Bob,210,False,mapclosures_no_pose,megaloc,24.226925155948862,False,13,4,,
Alpha,287,Bob,193,True,accepted,mapclosures,10.425151264918638,False,8,7,0.3088193474394319,0.6463381057268722
Alpha,287,Carol,330,True,accepted,megaloc,6.315835490422943,True,11,7,0.3343959530246051,0.4405176260597947
Alpha,289,Carol,214,True,accepted,mapclosures,11.86284927830022,False,7,6,0.3303441845681252,0.41112929623567923
Alpha,290,Alpha,201,True,accepted,mapclosures,2.7639048919309728,True,16,16,0.2751509915017606,0.8456909520739307
Alpha,290,Alpha,210,True,accepted,megaloc+mapclosures,2.9918901115544627,True,14,14,0.2753048034280798,0.845782237086585
Alpha,291,Carol,330,True,accepted,megaloc,6.3973751359929345,True,14,10,0.32522301279248916,0.4539045069165551
Alpha,292,Bob,201,True,accepted,mapclosures,11.145965573467981,False,7,7,0.2938002590621232,0.6048948539438742
Alpha,293,Bob,204,False,mapclosures_no_pose,megaloc,12.814510357891793,False,9,5,,
Alpha,294,Carol,182,True,accepted,mapclosures,15.779610757746083,False,6,6,0.3250318039290233,0.40106951871657753
Alpha,295,Alpha,188,True,accepted,mapclosures,4.284466952894412,True,18,18,0.2809610790510065,0.8208924672489083
Alpha,295,Carol,161,True,accepted,megaloc,11.736384045240726,False,11,7,0.32008549997423597,0.419841932789308
Alpha,296,Bob,196,True,accepted,megaloc+mapclosures,5.936205935071596,True,9,7,0.2903441849220997,0.6550303393512623
Alpha,296,Bob,195,True,accepted,megaloc,6.255873106594253,True,13,10,0.2940930613163497,0.640357698289269
Alpha,297,Alpha,182,True,accepted,megaloc+mapclosures,4.449981494978482,True,11,11,0.2833156597504522,0.7942886966895317
Alpha,299,Alpha,186,True,accepted,mapclosures,5.185959236646263,True,12,11,0.28428479107504917,0.8196045552993781
Alpha,299,Carol,161,False,mapclosures_no_pose,megaloc,15.021771058711538,False,3,2,,
Alpha,300,Bob,199,True,accepted,megaloc,6.005049843128267,True,8,8,0.295293667701954,0.6884810432262738
Alpha,301,Bob,194,True,accepted,megaloc+mapclosures,9.333267948774502,True,6,6,0.3037817387781986,0.6470631805051478
Alpha,302,Alpha,182,True,accepted,megaloc,7.436445748444527,True,27,26,0.2717357226607752,0.7899642111541902
Alpha,304,Alpha,192,True,accepted,mapclosures,8.717798603065237,True,12,11,0.2972692036639045,0.765484759619657
Alpha,304,Carol,164,False,mapclosures_no_pose,megaloc,15.19706005588899,False,4,3,,
Alpha,307,Alpha,182,True,accepted,megaloc,9.982783178004368,True,8,7,0.29685628456286417,0.7622278556516552
Alpha,308,Bob,188,True,accepted,megaloc,19.138734081395874,False,13,9,0.32028507763272707,0.5039732003739482
Alpha,310,Carol,165,False,mapclosures_no_pose,megaloc,17.829915268137455,False,2,0,,
Alpha,313,Bob,201,False,mapclosures_no_pose,megaloc,9.963614647116541,True,6,5,,
Alpha,317,Carol,162,False,mapclosures_no_pose,megaloc,24.18320352198339,False,8,2,,
