query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,75,Bob,78,True,accepted,megaloc+mapclosures,6.4746566781029795,True,13,12,0.3455450121243501,0.6091885441527446
Alpha,76,Bob,78,True,accepted,megaloc,7.54284146292606,True,31,19,0.3492401405096918,0.5979372655983635
Alpha,76,Carol,70,False,high_rmse,megaloc+mapclosures,9.021600884743917,True,13,7,0.3542088209009351,0.48109181871689227
Alpha,77,Carol,63,False,high_rmse,megaloc,17.380598592348637,False,23,10,0.3591841462836918,0.4327974276527331
Alpha,78,Bob,81,True,accepted,mapclosures,6.530460872236699,True,15,10,0.34663215220716836,0.6427434524670814
Alpha,79,Bob,79,False,high_rmse,megaloc+mapclosures,9.711949467221796,True,12,7,0.35371481828263057,0.5775236794948374
Alpha,79,Carol,72,False,high_rmse,megaloc+mapclosures,10.277969160147606,False,13,12,0.3524314372214127,0.477197046474591
Alpha,80,Carol,63,False,high_rmse,megaloc,20.662505499885008,False,25,9,0.35887868351083263,0.4200071454090747
Alpha,81,Bob,83,True,accepted,megaloc+mapclosures,7.7528647081034165,True,16,9,0.3497668440649816,0.6471476808245957
Alpha,82,Bob,85,True,accepted,megaloc+mapclosures,6.798378345496949,True,14,13,0.32581573150983173,0.6786831275720164
Alpha,82,Carol,70,True,accepted,mapclosures,15.511136952859836,False,16,11,0.33943947538764235,0.4363596233078281
Alpha,83,Carol,79,True,accepted,megaloc+mapclosures,7.878589266476999,True,14,9,0.33527937814531267,0.5159280317781759
Alpha,84,Bob,86,True,accepted,megaloc+mapclosures,7.84968683004973,True,17,12,0.32410354151936455,0.6643236616264814
Alpha,85,Bob,85,True,accepted,megaloc+mapclosures,9.950972532120149,True,19,13,0.3248891474682842,0.6413991769547325
Alpha,85,Carol,81,True,accepted,megaloc+mapclosures,7.896475233439649,True,11,10,0.33399896487874486,0.5007160624104922
Alpha,86,Carol,81,True,accepted,megaloc+mapclosures,8.921218553532801,True,17,12,0.33696888828361804,0.49219868847516396
Alpha,87,Bob,90,True,accepted,megaloc+mapclosures,7.132258278469433,True,13,10,0.3300967427160098,0.6269383213962868
Alpha,88,Bob,91,True,accepted,megaloc+mapclosures,7.110646680899737,True,12,8,0.32679126649846973,0.6467935165609584
Alpha,88,Carol,81,True,accepted,megaloc+mapclosures,11.003009302108504,False,14,9,0.3387734249758571,0.48594256425717947
Alpha,89,Carol,84,False,high_rmse,megaloc,8.875090186450091,True,39,21,0.35925231022949294,0.47492163009404387
Alpha,90,Bob,90,True,accepted,megaloc+mapclosures,10.161342860594154,False,12,11,0.34686908685218715,0.6267297128155205
Alpha,91,Bob,94,False,high_rmse,megaloc,6.962681438502056,True,37,18,0.3567136052109294,0.7124362495096116
Alpha,91,Carol,83,True,accepted,megaloc+mapclosures,11.895394939656327,False,8,6,0.34864929989755916,0.4903832944085726
Alpha,92,Carol,88,True,accepted,megaloc,7.800284974167023,True,30,13,0.3435540371221918,0.5553412105136243
Alpha,93,Bob,96,True,accepted,megaloc+mapclosures,7.068637916329525,True,14,8,0.33062554946182426,0.7057165010220624
Alpha,94,Bob,97,True,accepted,megaloc+mapclosures,7.055546831901375,True,17,12,0.3329229215414766,0.682652705061082
Alpha,94,Carol,86,True,accepted,megaloc+mapclosures,11.916990006172353,False,9,8,0.34864102978830336,0.486587982832618
Alpha,95,Carol,89,False,high_rmse,megaloc,9.843269567936854,True,28,12,0.35193648078548,0.49864986498649866
Alpha,96,Bob,93,True,accepted,megaloc+mapclosures,13.308489748182012,False,10,6,0.3395023219573244,0.5168504665689828
Alpha,97,Bob,100,True,accepted,megaloc+mapclosures,7.008115071904981,True,10,6,0.3307248772326396,0.5791124457791125
