query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Carol,247,Bob,220,False,high_rmse,mapclosures,1.7511983718513042,True,14,12,0.39128362925103916,0.5746786822278033
Carol,248,Bob,244,False,high_rmse,megaloc,13.877605152115537,False,36,9,0.39641105383767566,0.3609775325187229
Carol,249,Bob,222,False,high_rmse,mapclosures,5.467554383302752,True,15,13,0.38992844646096686,0.6061443160890675
Carol,250,Bob,247,False,mapclosures_no_pose,megaloc,12.999608726047729,False,39,5,,
Carol,251,Bob,221,False,high_rmse,mapclosures,6.398166577997136,True,12,8,0.3670116572661709,0.6271390374331551
Carol,255,Bob,220,False,high_rmse,mapclosures,8.031896833416782,True,13,6,0.3866442965836832,0.5356525836343647
Carol,259,Bob,258,False,high_rmse,mapclosures,4.817719621914005,True,11,9,0.39536443619712874,0.42315634218289083
Carol,262,Bob,258,False,high_rmse,mapclosures,4.590898365424715,True,9,7,0.3941544182465117,0.4428214637099826
Carol,263,Bob,269,False,high_rmse,megaloc,1.8325130302224024,True,73,30,0.3930875809355543,0.4835173087031614
Carol,264,Bob,267,False,high_rmse,mapclosures,2.236764733517088,True,12,9,0.39451997989851584,0.465172439815863
Carol,266,Bob,265,False,high_rmse,mapclosures,2.3275430323279007,True,12,7,0.39790194368712734,0.4811893203883495
Carol,266,Bob,267,False,high_rmse,megaloc,2.001520235263192,True,59,26,0.3993927998531198,0.49609916782246877
Carol,267,Bob,267,False,high_rmse,megaloc+mapclosures,1.9073737384297744,True,17,9,0.36484785660541974,0.5545872179435212
Carol,268,Bob,264,False,high_rmse,mapclosures,2.404308701937849,True,12,7,0.36808566153325584,0.5555189727549592
Carol,268,Bob,267,False,high_rmse,megaloc,1.9127738987411325,True,41,22,0.3630948583651353,0.5880319367849206
Carol,269,Bob,267,True,accepted,megaloc,1.9196537561636722,True,26,10,0.3429770433934228,0.5045528340509635
