peer,from1,to1,from2,to2,available,squared_mahalanobis,threshold,translation_m,rotation_rad,consistent
1,6,6,6,7,1,0.0019289020271769865,16.811893829770931,0.052613533459071334,0.0018035824172328468,1
1,6,6,8,8,1,0.0099212639818854406,16.811893829770931,0.1238629686130211,0.0042910155766147139,1
1,6,6,9,10,1,0.010716392154218858,16.811893829770931,0.14323844096552674,0.0038992790999298681,1
1,6,6,10,11,1,0.0086631336495310643,16.811893829770931,0.11601355688113008,0.0041935901177196939,1
1,6,7,8,8,1,0.0033226024737011816,16.811893829770931,0.070936226056228291,0.0025053778183202545,1
1,6,7,9,10,1,0.004083583620469824,16.811893829770931,0.091333893419141415,0.0021026016565352363,1
1,6,7,10,11,1,0.0027738935507060419,16.811893829770931,0.064395284746709192,0.0023952907799338328,1
1,8,8,9,10,1,0.00060005147874952331,16.811893829770931,0.031529696210038427,0.00047910518097158501,1
1,8,8,10,11,1,0.0003245004817747371,16.811893829770931,0.017586271006947922,0.00032197057890851182,1
1,9,10,10,11,1,0.00051059259494605155,16.811893829770931,0.028166494321832276,0.00029566938099204583,1
