iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,43,0,42,0,0.581222,0.151792,0.000206,0.002517,0.900601
2,0,0,0,0,0.297755,0.097817,0.000201,0.000098,0.397741
3,0,0,0,0,0.332552,0.104218,0.000202,0.000082,0.440789
4,0,0,0,0,0.357805,0.116645,0.000178,0.000203,0.478549
5,0,0,0,0,0.354862,0.111184,0.000149,0.000076,0.469319
6,0,0,0,0,0.336985,0.098712,0.000202,0.000188,0.439364
7,0,0,0,0,0.439021,0.107805,0.000133,0.000386,0.550361
8,0,0,0,0,0.355760,0.116129,0.000142,0.000182,0.475685
9,0,0,0,0,0.345946,0.115159,0.000138,0.000076,0.464345
10,0,0,0,0,0.615532,0.106927,0.000196,0.000186,0.726368
11,0,0,0,0,0.313621,0.099662,0.000210,0.000284,0.416040
12,0,0,0,0,0.315787,0.092830,0.000196,0.000190,0.412300
13,0,0,0,0,0.342614,0.114943,0.000147,0.000077,0.460765
14,0,0,0,0,0.341652,0.114152,0.000138,0.000101,0.458848
15,0,0,0,0,0.363534,0.102262,0.000189,0.000186,0.470231
16,0,0,0,0,0.356944,0.111324,0.000132,0.000477,0.471921
17,0,0,0,0,0.347140,0.110114,0.000141,0.000077,0.460351
18,0,0,0,0,0.345289,0.112208,0.000164,0.000192,0.460485
19,0,0,0,0,0.317550,0.105769,0.000184,0.000083,0.428144
20,0,0,0,0,0.354769,0.114963,0.000134,0.000080,0.473137
21,0,0,0,0,0.345656,0.138634,0.000226,0.000253,0.488234
22,0,0,0,0,0.351700,0.110415,0.000141,0.000080,0.465367
23,0,0,0,0,0.348498,0.114758,0.000141,0.000080,0.467063
24,0,0,0,0,0.329529,0.105047,0.000140,0.000080,0.437012
25,0,0,0,0,0.296945,0.106389,0.000178,0.000188,0.406645
26,0,0,0,0,0.263283,0.105808,0.000198,0.000189,0.371783
27,0,0,0,0,0.260189,0.098458,0.000204,0.000379,0.361696
28,0,0,0,0,0.332823,0.108298,0.000289,0.000187,0.444323
29,0,0,0,0,0.297035,0.116930,0.000139,0.000185,0.417429
30,0,0,0,0,0.272296,0.106011,0.000341,0.000096,0.381637
31,0,0,0,0,0.297355,0.122480,0.000140,0.000055,0.422971
32,0,0,0,0,0.292620,0.114384,0.000139,0.000080,0.410627
33,0,0,0,0,0.315510,0.105540,0.000222,0.000190,0.425376
34,0,0,0,0,0.265039,0.101079,0.000222,0.000080,0.368736
35,0,0,0,0,0.274449,0.100448,0.000320,0.000085,0.378564
36,0,0,0,0,0.269554,0.100705,0.000144,0.000097,0.373432
37,0,0,0,0,0.299283,0.117409,0.000149,0.000082,0.420045
38,0,0,0,0,0.307142,0.117868,0.000134,0.000189,0.429079
39,0,0,0,0,0.287778,0.106523,0.000201,0.000083,0.398323
40,0,0,0,0,0.262349,0.097975,0.000149,0.000177,0.363262
41,0,0,0,0,0.288559,0.115407,0.000140,0.000080,0.407173
42,0,0,0,0,0.287251,0.107324,0.000139,0.000320,0.398253
43,0,0,0,0,0.267462,0.101497,0.000200,0.000187,0.372091
44,0,0,0,0,0.318028,0.104898,0.000200,0.000216,0.426696
45,0,0,0,0,0.274655,0.108958,0.000228,0.000314,0.387662
46,0,0,0,0,0.320033,0.119054,0.000143,0.000180,0.443769
47,0,0,0,0,0.287482,0.112800,0.000138,0.000080,0.403241
48,0,0,0,0,0.281582,0.103739,0.000163,0.000085,0.388742
49,0,0,0,0,0.304718,0.107772,0.000309,0.000089,0.415913
50,0,0,0,0,0.307074,0.115524,0.000134,0.000239,0.426619
51,0,0,0,0,0.510454,0.116959,0.000143,0.000194,0.635052
52,0,0,0,0,0.266492,0.105419,0.000185,0.000190,0.375207
53,0,0,0,0,0.278650,0.104249,0.000163,0.000091,0.385907
54,0,0,0,0,0.282453,0.116118,0.000142,0.000077,0.402797
55,0,0,0,0,0.271358,0.107391,0.000235,0.000121,0.383270
56,0,0,0,0,0.270523,0.108131,0.000207,0.000300,0.381410
57,0,0,0,0,0.281357,0.102389,0.000418,0.000091,0.387438
58,0,0,0,0,0.283665,0.111571,0.000203,0.000090,0.398780
59,0,0,0,0,0.296641,0.104422,0.000200,0.000081,0.404525
60,0,0,0,0,0.281613,0.102204,0.000326,0.000292,0.388483
61,0,0,0,0,0.277715,0.117836,0.000135,0.000202,0.398589
62,0,0,0,0,0.251025,0.101496,0.000196,0.000081,0.355557
63,0,0,0,0,0.280039,0.116558,0.000138,0.000078,0.399745
64,0,0,0,0,0.277031,0.114951,0.000141,0.000193,0.395460
65,0,0,0,0,0.328012,0.115437,0.000144,0.000084,0.446690
66,0,0,0,0,0.304986,0.142818,0.000206,0.000082,0.450987
67,0,0,0,0,0.256682,0.099777,0.000198,0.000080,0.360844
68,0,0,0,0,0.311539,0.118972,0.000137,0.000189,0.434806
69,0,0,0,0,0.293151,0.116917,0.000157,0.000327,0.414047
70,0,0,0,0,0.269611,0.110237,0.000289,0.000236,0.385764
71,0,0,0,0,0.260262,0.104898,0.000201,0.000091,0.368622
72,0,0,0,0,0.315151,0.125449,0.000243,0.000380,0.444544
73,0,0,0,0,0.268286,0.102823,0.000187,0.000199,0.374562
74,0,0,0,0,0.303469,0.117816,0.000231,0.000233,0.426545
75,0,0,0,0,0.268873,0.108559,0.000314,0.000211,0.381689
76,0,0,0,0,0.284039,0.112858,0.000194,0.000400,0.401012
77,0,0,0,0,0.269259,0.105803,0.000311,0.000083,0.377751
78,0,0,0,0,0.276980,0.109558,0.000209,0.000302,0.390562
79,0,0,0,0,0.307501,0.114826,0.000240,0.000082,0.425877
80,0,0,0,0,0.302921,0.103534,0.000242,0.000106,0.410521
81,0,0,0,0,0.268699,0.106358,0.000171,0.000285,0.379008
82,0,0,0,0,0.256879,0.100195,0.000207,0.000190,0.359485
83,0,0,0,0,0.279151,0.100369,0.000151,0.000080,0.383127
84,0,0,0,0,0.282315,0.114940,0.000138,0.000081,0.400381
85,0,0,0,0,0.256430,0.101069,0.000179,0.000290,0.361179
86,0,0,0,0,0.311601,0.100681,0.000180,0.000097,0.415444
87,0,0,0,0,0.285807,0.114026,0.000150,0.000291,0.403314
88,0,0,0,0,0.271367,0.109120,0.000224,0.000076,0.384101
89,0,0,0,0,0.253391,0.097558,0.000162,0.000181,0.353991
90,0,0,0,0,0.239227,0.095587,0.000230,0.000194,0.337208
91,0,0,0,0,0.261649,0.100471,0.000198,0.000087,0.364586
92,0,0,0,0,0.353518,0.142046,0.000175,0.000103,0.500103
93,0,0,0,0,0.277767,0.122065,0.000194,0.000193,0.404582
94,0,0,0,0,0.261794,0.103809,0.000192,0.000297,0.369425
95,0,0,0,0,0.261745,0.108227,0.000209,0.000090,0.373266
96,0,0,0,0,0.260872,0.098067,0.000195,0.000084,0.362133
97,0,0,0,0,0.249675,0.101924,0.000210,0.000089,0.354814
98,0,0,0,0,0.254235,0.101848,0.000317,0.000188,0.359512
99,0,0,0,0,0.293549,0.109607,0.000186,0.000089,0.406839
