request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
60,59,98,1,5,13,6,0,local,0.000448,0.338223,0.153393,0.000032,0.492096
61,60,98,1,5,13,6,0,local,0.000266,0.354537,0.149089,0.000030,0.503922
62,61,98,1,5,13,6,0,local,0.000329,0.333008,0.157016,0.000030,0.490383
63,62,98,1,5,13,6,0,local,0.000311,0.341201,0.155255,0.000030,0.496797
64,63,98,1,5,13,6,0,local,0.000366,0.349649,0.153585,0.000031,0.503631
65,64,98,1,5,13,6,0,local,0.000339,0.353984,0.153592,0.000030,0.507945
66,65,98,1,5,13,6,0,local,0.000327,0.335522,0.151949,0.000030,0.487828
67,66,98,1,5,13,6,0,local,0.000393,0.373200,0.154399,0.000031,0.528023
68,67,98,1,5,13,6,0,local,0.000378,0.329617,0.156259,0.000030,0.486284
69,68,98,1,5,13,6,0,local,0.000310,0.339302,0.154012,0.000031,0.493655
70,69,98,0,0,0,4,0,global,0.000378,0.372037,0.067061,0.000030,0.439506
71,70,98,0,0,0,4,0,global,0.000278,0.350044,0.059741,0.000031,0.410094
72,71,98,0,0,0,4,0,global,0.000346,0.361579,0.065715,0.000031,0.427671
73,72,98,0,0,0,4,0,global,0.000362,0.349841,0.069360,0.000030,0.419593
74,73,98,0,0,0,4,0,global,0.000316,0.352580,0.065588,0.000031,0.418515
75,74,98,0,0,0,4,0,global,0.000256,0.364959,0.062339,0.000031,0.427585
76,75,98,0,0,0,4,0,global,0.000392,0.839101,0.067027,0.000031,0.906551
77,76,98,0,0,0,4,0,global,0.000418,0.386285,0.066668,0.000031,0.453402
78,77,98,0,0,0,4,0,global,0.000260,0.354165,0.064765,0.000031,0.419221
79,78,98,0,0,0,4,0,global,0.000335,0.375255,0.063755,0.000030,0.439375
80,79,98,1,5,13,6,0,local,0.000336,0.338309,0.150835,0.000031,0.489511
81,80,98,1,5,13,6,0,local,0.000443,0.577808,0.150916,0.000030,0.729197
82,81,98,1,5,13,6,0,local,0.000401,0.351415,0.157723,0.000031,0.509570
83,82,98,1,5,13,6,0,local,0.000588,0.325744,0.154539,0.000030,0.480901
84,83,98,1,5,13,6,0,local,0.000354,0.325516,0.153952,0.000031,0.479853
85,84,98,1,5,13,6,0,local,0.000383,0.360992,0.147628,0.000030,0.509033
86,85,98,1,5,13,6,0,local,0.000335,0.356634,0.149664,0.000030,0.506663
87,86,98,1,5,13,6,0,local,0.000339,0.353413,0.159332,0.000030,0.513114
88,87,98,1,5,13,6,0,local,0.000332,0.353972,0.155729,0.000031,0.510064
89,88,98,1,5,13,6,0,local,0.000347,0.353964,0.154783,0.000030,0.509124
90,89,98,0,0,0,4,0,global,0.000360,0.364553,0.064143,0.000030,0.429086
91,90,98,0,0,0,4,0,global,0.000318,0.343504,0.065160,0.000030,0.409012
92,91,98,0,0,0,4,0,global,0.000570,0.335663,0.065031,0.000031,0.401295
93,92,98,0,0,0,4,0,global,0.000281,0.325342,0.064823,0.000029,0.390475
94,93,98,0,0,0,4,0,global,0.000371,0.349426,0.064946,0.000030,0.414773
95,94,98,0,0,0,4,0,global,0.000353,0.387631,0.067190,0.000034,0.455208
96,95,98,0,0,0,4,0,global,0.000330,0.349474,0.065201,0.000030,0.415035
97,96,98,0,0,0,4,0,global,0.000344,0.557833,0.065731,0.000030,0.623938
98,97,98,0,0,0,4,0,global,0.000151,0.403645,0.086957,0.000029,0.490782
99,98,98,0,0,0,4,0,global,0.000260,0.362868,0.063207,0.000031,0.426366
