request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
1,1,98,1,4,9,4,4,local,0.000179,0.585051,0.188325,0.002184,0.775739
2,1,98,1,5,13,6,4,local,0.000178,0.469248,0.154868,0.002256,0.626550
3,2,98,1,5,13,6,0,local,0.000144,0.448646,0.169750,0.000036,0.618576
4,3,98,1,5,13,6,0,local,0.000355,0.359287,0.202316,0.000031,0.561989
5,4,98,1,5,13,6,0,local,0.000155,0.442987,0.191435,0.000038,0.634615
6,5,98,1,5,13,6,0,local,0.000445,0.393830,0.150461,0.000030,0.544766
7,6,98,1,5,13,6,0,local,0.000162,0.398392,0.190277,0.000038,0.588869
8,7,98,1,5,13,6,0,local,0.000152,0.396529,0.190190,0.000043,0.586914
9,8,98,1,5,13,6,0,local,0.000296,0.384507,0.150652,0.000030,0.535485
10,9,98,0,0,0,4,1,global,0.000154,0.549038,0.061423,0.001216,0.611831
11,10,98,0,0,0,4,1,global,0.000656,0.635422,0.058243,0.001384,0.695705
12,11,98,0,0,0,4,0,global,0.000479,0.530754,0.064735,0.000031,0.595999
13,12,98,0,0,0,4,0,global,0.000344,2.070152,1.713562,0.000043,3.784101
14,13,98,0,0,0,4,0,global,0.000264,0.368571,0.059004,0.000030,0.427869
15,14,98,0,0,0,4,0,global,0.000317,0.409047,0.064703,0.000031,0.474098
16,15,98,0,0,0,4,0,global,0.000499,2.042027,0.164820,0.000148,2.207494
17,16,98,0,0,0,4,0,global,0.000414,0.429153,0.064809,0.000031,0.494407
18,17,98,0,0,0,4,0,global,0.000395,0.406397,0.070040,0.000042,0.476874
19,18,98,0,0,0,4,0,global,0.000157,0.422322,0.079335,0.000038,0.501852
20,19,98,1,5,13,6,0,local,0.000254,0.344099,0.149495,0.000031,0.493879
21,20,98,1,5,13,6,0,local,0.000355,1.061954,0.151699,0.000046,1.214054
22,21,98,1,5,13,6,0,local,0.000285,0.353183,0.149023,0.000030,0.502521
23,22,98,1,5,13,6,0,local,0.000272,0.338215,0.150370,0.000030,0.488887
24,23,98,1,5,13,6,0,local,0.000495,0.929234,0.152558,0.000051,1.082338
25,24,98,1,5,13,6,0,local,0.000347,0.364887,0.148393,0.000031,0.513658
26,25,98,1,5,13,6,0,local,0.000252,0.335658,0.143906,0.000029,0.479845
27,26,98,1,5,13,6,0,local,0.000319,0.352689,0.149799,0.000030,0.502837
28,27,98,1,5,13,6,0,local,0.000318,0.334713,0.148700,0.000029,0.483760
29,28,98,1,5,13,6,0,local,0.000408,0.372014,0.154070,0.000030,0.526522
30,29,98,0,0,0,4,0,global,0.000337,0.366052,0.061586,0.000030,0.428005
31,30,98,0,0,0,4,0,global,0.000351,0.361441,0.062723,0.000032,0.424547
32,31,98,0,0,0,4,0,global,0.000360,0.358801,0.064757,0.000030,0.423948
33,32,98,0,0,0,4,0,global,0.000366,0.387832,0.069130,0.000033,0.457361
34,33,98,0,0,0,4,0,global,0.000281,0.378603,0.064518,0.000029,0.443431
35,34,98,0,0,0,4,0,global,0.000284,0.358342,0.067967,0.000031,0.426624
36,35,98,0,0,0,4,0,global,0.000148,0.366118,0.062856,0.000029,0.429151
37,36,98,0,0,0,4,0,global,0.000395,0.350652,0.060588,0.000030,0.411665
38,37,98,0,0,0,4,0,global,0.000278,0.351586,0.062405,0.000030,0.414299
39,38,98,0,0,0,4,0,global,0.000367,0.354590,0.062023,0.000033,0.417013
40,39,98,1,5,13,6,0,local,0.000345,0.358523,0.158794,0.000031,0.517693
41,40,98,1,5,13,6,0,local,0.000193,0.329444,0.150560,0.000030,0.480227
42,41,98,1,5,13,6,0,local,0.000443,0.340212,0.149951,0.000030,0.490636
43,42,98,1,5,13,6,0,local,0.000340,0.360594,0.157115,0.000031,0.518080
44,43,98,1,5,13,6,0,local,0.000458,0.358436,0.154133,0.000031,0.513058
45,44,98,1,5,13,6,0,local,0.000354,0.371038,0.154233,0.000031,0.525656
46,45,98,1,5,13,6,0,local,0.000200,0.399205,0.202572,0.000026,0.602003
47,46,98,1,5,13,6,0,local,0.000339,0.344461,0.153346,0.000029,0.498175
48,47,98,1,5,13,6,0,local,0.000276,0.356835,0.161977,0.000030,0.519118
49,48,98,1,5,13,6,0,local,0.000430,0.343593,0.152621,0.000030,0.496674
50,49,98,0,0,0,4,0,global,0.000245,0.347556,0.064538,0.000031,0.412370
51,50,98,0,0,0,4,0,global,0.000179,0.368954,0.063064,0.000032,0.432229
52,51,98,0,0,0,4,0,global,0.000288,0.320677,0.064864,0.000029,0.385858
53,52,98,0,0,0,4,0,global,0.000382,0.340984,0.075985,0.000030,0.417381
54,53,98,0,0,0,4,0,global,0.000206,0.399896,0.063046,0.000030,0.463178
55,54,98,0,0,0,4,0,global,0.000323,0.355032,0.059724,0.000030,0.415109
56,55,98,0,0,0,4,0,global,0.000247,0.378828,0.074904,0.000030,0.454009
57,56,98,0,0,0,4,0,global,0.000291,0.334714,0.071266,0.000030,0.406301
58,57,98,0,0,0,4,0,global,0.000182,0.344196,0.063915,0.000030,0.408323
59,58,98,0,0,0,4,0,global,0.000144,0.379211,0.066227,0.000031,0.445613
