iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,78,0,77,0,1.051301,0.251322,78.231858,0.000083,79.730275
2,0,0,0,0,0.732064,0.152159,9.647687,0.000281,10.534256
3,0,0,0,4,0.670684,0.151373,10.301727,0.000440,11.126792
4,0,0,0,0,0.774929,0.134572,11.135274,0.000424,12.047261
5,0,0,0,0,0.744879,0.132494,10.353906,0.000290,11.233487
6,0,0,0,0,0.858171,0.251813,12.016934,0.000422,13.132204
7,0,0,0,0,0.802004,0.128111,9.089312,0.000289,10.022800
8,0,0,0,0,0.676025,0.187627,8.976694,0.000215,9.842420
9,0,0,0,0,0.743892,0.141444,13.214467,0.000512,14.103065
10,0,0,0,0,0.488297,0.129391,12.861401,0.000303,13.482089
11,0,0,0,0,0.504139,0.191682,12.440312,0.000389,13.139206
12,0,0,0,1,0.572539,0.131347,9.165130,0.000429,9.873918
13,0,0,0,0,0.472232,0.188201,8.517783,0.000296,9.181047
14,0,0,0,0,0.542819,0.143339,9.008722,0.000436,9.698577
15,0,0,0,0,0.491569,0.198195,13.039936,0.000305,13.732934
16,0,0,0,0,0.826644,0.140179,9.589883,0.000292,10.558889
17,0,0,0,0,0.562498,0.137555,9.601094,0.000385,10.305102
18,0,0,0,0,0.517627,0.235049,11.974550,0.000295,12.731636
19,0,0,0,0,0.481337,0.135192,8.896436,0.000318,9.516749
20,0,0,0,0,0.523032,0.149049,9.120810,0.000510,9.796913
21,0,0,0,0,0.495810,0.151903,10.166520,0.000399,10.817523
22,0,0,0,0,0.503986,0.144704,13.272565,0.000503,13.923985
23,0,0,0,0,0.477155,0.201426,12.120620,0.000217,12.802431
24,0,0,0,0,0.484782,0.143582,11.086889,0.000444,11.719074
25,0,0,0,0,1.935018,0.184299,11.481781,0.000304,13.604726
26,0,0,0,0,0.914100,0.142205,12.215264,0.000287,13.274529
27,0,0,0,0,0.461700,0.135987,9.083700,0.000395,9.685582
28,0,0,0,0,0.481229,0.139597,8.862497,0.000289,9.486574
29,0,0,0,0,0.580847,0.178978,11.000836,0.000439,11.766445
30,0,0,0,0,0.657239,0.186410,10.112694,0.000202,10.960613
31,0,0,0,0,0.593265,0.163531,9.062603,0.000505,9.823846
32,0,0,0,0,0.497800,0.135427,9.202164,0.000398,9.838960
33,0,0,0,0,0.542973,0.154315,9.057842,0.000303,9.759613
34,0,0,0,0,0.476219,0.199547,11.149220,0.000316,11.828519
35,0,0,0,0,0.579218,0.153386,11.500769,0.000286,12.237668
36,0,0,0,0,0.516181,0.139786,9.381120,0.000309,10.041072
37,0,0,0,0,0.530280,0.153491,9.944900,0.000297,10.631776
38,0,0,0,0,0.484879,0.148485,12.895996,0.000332,13.532555
39,0,0,0,0,0.605505,0.255278,11.037632,0.000347,11.903089
40,0,0,0,0,0.688079,0.163056,13.583864,0.000433,14.440784
41,0,0,0,0,0.572462,0.159451,12.002422,0.000520,12.739232
42,0,0,0,0,0.627140,0.166207,9.158705,0.000433,9.954701
43,0,0,0,0,0.584622,0.163740,11.027151,0.000523,11.779437
44,0,0,0,0,0.491593,0.149439,9.145641,0.000471,9.789576
45,0,0,0,0,0.492067,0.151862,9.397193,0.000385,10.044070
46,0,0,0,0,0.466657,0.158338,10.087906,0.000331,10.715454
47,0,0,0,0,0.522249,0.163660,9.572896,0.000399,10.263120
48,0,0,0,0,0.604401,0.151515,11.403020,0.000284,12.162394
49,0,0,0,0,0.608100,0.145374,11.089286,0.000322,11.846285
50,0,0,0,0,0.556886,0.166678,11.126258,0.000436,11.852612
51,0,0,0,0,0.620046,0.195361,11.513479,0.000287,12.333120
52,0,0,0,0,0.513012,0.146087,9.014811,0.000285,9.676557
53,0,0,0,0,0.474865,0.173528,13.574958,0.000298,14.226205
54,0,0,0,0,0.489209,0.144729,10.762499,0.000310,11.398871
55,0,0,0,0,0.506020,0.149684,11.434251,0.000159,12.092492
56,0,0,0,0,0.499294,0.151171,12.438763,0.000218,13.092046
57,0,0,0,0,0.581770,0.188365,12.036356,0.000292,12.810441
58,0,0,0,0,0.626044,0.152310,11.767338,0.000403,12.549401
59,0,0,0,0,0.542966,0.175172,11.213201,0.000520,11.936573
60,0,0,0,0,0.552685,0.160966,10.213855,0.000613,10.932170
61,0,0,0,0,0.461730,0.147393,9.502016,0.000536,10.114405
62,0,0,0,0,0.533057,0.197030,10.917945,0.000291,11.650075
63,0,0,0,0,0.994270,0.294306,9.786287,0.000280,11.078725
64,0,0,0,0,0.495432,0.135704,8.847494,0.000207,9.481876
65,0,0,0,0,0.417028,0.137583,10.305351,0.000297,10.863221
66,0,0,0,0,0.470177,0.167318,9.318631,0.000388,9.958514
67,0,0,0,0,1.134093,0.350004,10.963391,0.000339,12.452225
68,0,0,0,0,0.446058,0.133984,12.630525,0.000266,13.212613
69,0,0,0,0,0.488919,0.146338,14.111146,0.000404,14.749110
70,0,0,0,0,0.526279,0.158283,11.740725,0.000423,12.429802
71,0,0,0,0,0.495555,0.141589,9.338744,0.000416,9.979518
72,0,0,0,0,0.459966,0.148299,10.293625,0.000296,10.904471
73,0,0,0,0,0.530898,0.153044,9.970446,0.000439,10.659139
74,0,0,0,0,0.545454,0.165141,12.846834,0.000440,13.561250
75,0,0,0,0,0.494733,0.148559,13.687473,0.000555,14.335103
76,0,0,0,0,0.470159,0.138933,11.694768,0.000523,12.307745
77,0,0,0,0,0.505582,0.138924,9.619434,0.000297,10.266999
78,0,0,0,0,0.448541,0.133198,8.605244,0.000404,9.189415
79,0,0,0,0,0.539761,0.154910,10.275519,0.000344,10.973729
80,0,0,0,0,0.484144,0.157030,9.008441,0.000332,9.653079
81,0,0,0,0,0.518424,0.136685,10.453415,0.000359,11.112195
82,0,0,0,0,0.517437,0.149799,12.649250,0.000499,13.320599
83,0,0,0,0,0.490224,0.131417,10.144555,0.000299,10.769324
84,0,0,0,0,0.492872,0.150606,10.029632,0.000396,10.677107
85,0,0,0,0,0.479867,0.132172,8.981793,0.000301,9.596420
86,0,0,0,0,0.450375,0.138522,9.602055,0.000311,10.193261
87,0,0,0,0,0.579574,0.144296,9.464352,0.000372,10.191641
88,0,0,0,0,0.552713,0.155208,10.601206,0.000421,11.313718
89,0,0,0,0,0.503237,0.144741,9.760897,0.000292,10.411639
90,0,0,0,0,0.538238,0.158895,14.994179,0.000393,15.695935
91,0,0,0,0,0.506595,0.141230,11.346454,0.000375,11.997615
92,0,0,0,0,0.503446,0.145149,12.169550,0.000398,12.822036
93,0,0,0,0,0.550504,0.159548,10.776105,0.000297,11.501171
94,0,0,0,0,0.542594,0.168801,12.478774,0.000593,13.194780
95,0,0,0,0,0.581693,0.183483,9.056184,0.000454,9.826676
96,0,0,0,0,0.648913,0.203009,10.901726,0.000326,11.757438
97,0,0,0,0,0.487253,0.140298,10.452631,0.000275,11.082590
98,0,0,0,0,0.467892,0.160431,9.643915,0.000393,10.275642
99,0,0,0,0,0.609760,0.164499,9.241312,0.000387,10.020681
