sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Library 1,Alpha:12,Alpha:477,1660900399665000000,1660900815471000000,mapclosures+megaloc,False,0.8273172166042583,,,,0.2962667843073982,0.9028793774319066,10,,0,0,False,,,
Library 1,Alpha:12,Carol:11,1660900399665000000,1660900398827000000,mapclosures,True,6.2707986543511165,7.793240371294674,1.5224417169435576,False,0.3446447764771549,0.6538562606753383,8,,6,0,True,False,0.06744250969810035,0.32689494202969116
Library 1,Alpha:12,Carol:18,1660900399665000000,1660900405927000000,mapclosures+megaloc,True,2.4518371130648857,1.001542376775041,1.4502947362898446,False,0.3400642741630287,0.7216797650234182,14,,8,0,True,False,0.07013746739258499,0.4039142396420746
Library 1,Alpha:14,Bob:10,1660900401465000000,,mapclosures,True,6.985669907686214,,,,0.3227919600113493,0.6823937414307606,8,,0,0,False,,,
Library 1,Alpha:14,Carol:13,1660900401465000000,,megaloc,True,6.36899675948749,7.846392896229213,1.4773961367417234,False,0.3322617016987847,0.574091492090637,8,,0,0,False,,,
Library 1,Alpha:15,Alpha:480,1660900402365000000,1660900818171000000,mapclosures+megaloc,False,0.8711914676511194,,,,0.3072253099626759,0.8918775437975579,8,,0,0,False,,,
Library 1,Alpha:15,Bob:14,1660900402365000000,1660900403119000000,mapclosures,True,4.271995013127757,,,,0.3396209217879342,0.7434397163120567,16,,8,0,True,False,0.054555793116504034,0.31231056227199117
Library 1,Alpha:15,Bob:17,1660900402365000000,1660900405719000000,mapclosures+megaloc,True,2.3599501139836905,,,,0.31209314875929617,0.7976261127596439,16,,8,0,True,False,0.07008840546042291,0.5452031481128299
Library 1,Alpha:15,Carol:11,1660900402365000000,1660900398827000000,mapclosures,True,9.461370941586049,11.034400565611213,1.573029624025164,False,0.3389089565093466,0.535672053606622,7,,5,0,True,False,0.045169227133806784,0.18478446685909813
Library 1,Alpha:15,Carol:19,1660900402365000000,1660900406927000000,mapclosures+megaloc,True,2.1785390024789892,2.5696263988971837,0.39108739641819446,False,0.33788293947865955,0.6848500517063082,7,,8,0,True,False,0.04490783683512983,0.3387540890797691
Library 1,Alpha:15,Carol:23,1660900402365000000,1660900410827000000,mapclosures,True,3.8239109091872425,1.7395961398206514,2.084314769366591,True,0.3419515854403199,0.6350799591697857,8,,6,0,True,False,0.05043122534461703,0.3128954411335497
