sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Library 1,Alpha:311,Bob:320,,1660900668520000000,mapclosures+megaloc,True,2.5200761736281327,8.14133903289968,5.621262859271547,True,0.33569744083508485,0.7501530924678506,11,,0,0,False,,,
Library 1,Alpha:311,Bob:323,,1660900671220000000,mapclosures+megaloc,True,1.6074996039295413,7.05294997140808,5.445450367478539,True,0.32710724313796363,0.7900701565029682,10,,0,0,False,,,
Library 1,Alpha:312,Bob:324,1660900665769000000,1660900672120000000,mapclosures+megaloc,True,1.6010694544229762,7.068799038704765,5.467729584281789,True,0.3188393634594685,0.8086362224293259,13,,10,0,True,False,0.03568114183653329,0.1685688409568968
Library 1,Alpha:312,Bob:326,1660900665769000000,1660900673920000000,megaloc,True,3.4431206499903393,5.740989835235564,2.297869185245225,True,0.3133607541231634,0.794175392670157,33,,10,0,True,False,0.03863126876795911,0.13415294012068413
Library 1,Alpha:313,Bob:317,1660900666669000000,1660900665820000000,megaloc,True,7.780639916888693,11.93491679731741,4.154276880428717,True,0.3491683232056999,0.6282511855151602,16,,8,0,True,False,0.04015199099062801,0.19580226573514248
Library 1,Alpha:316,Bob:321,1660900669569000000,1660900669420000000,megaloc,True,6.615605549795096,11.085556058688958,4.469950508893862,True,0.3421853729397732,0.6759598162136905,20,,13,0,True,False,0.04216732261748368,0.2317124660088821
Library 1,Alpha:318,Bob:322,1660900671569000000,1660900670320000000,megaloc,True,7.6622192046838835,11.932578555167265,4.270359350483381,True,0.3405311733291061,0.6433561065479388,13,,14,0,True,False,0.030344738709199612,0.20010498494058448
Library 1,Alpha:321,Bob:326,1660900674369000000,1660900673920000000,megaloc,True,6.472910539814384,9.464997342992255,2.9920868031778713,True,0.3179409556234124,0.6615674083769634,16,,18,0,True,False,0.03498707829524915,0.2125751491173148
Library 1,Alpha:467,Bob:3,1660900806471000000,,mapclosures,True,3.188185594464925,6.206367256971762,3.018181662506837,True,0.3417675480742773,0.640446608462055,7,,0,0,False,,,
Library 1,Bob:0,Bob:476,1660900388819000000,1660900807523000000,megaloc,False,2.769529811410088,5.810416572475613,3.040886761065525,True,0.30829188006487934,0.3239329268292683,8,,0,0,False,,,
Library 1,Bob:2,Bob:479,1660900392820000000,1660900810224000000,megaloc,False,0.32075233620958504,3.945243367468378,3.624491031258793,True,0.320974372087956,0.6490286298568507,27,,0,0,False,,,
Library 1,Bob:3,Bob:479,,1660900810224000000,mapclosures+megaloc,False,1.3893906277833756,4.609738598221644,3.2203479704382683,True,0.3232542597453784,0.7206884798909339,7,,0,0,False,,,
Library 1,Bob:5,Bob:482,1660900395520000000,1660900812924000000,mapclosures+megaloc,False,0.2509932133962591,4.0077254226489885,3.7567322092527293,True,0.31489812757451274,0.8646161934805467,10,,0,0,False,,,
Library 1,Bob:8,Bob:485,1660900398219000000,1660900815824000000,mapclosures+megaloc,False,0.3221940268783819,3.800305019117541,3.4781109922391593,True,0.29425134058805236,0.9116651531412532,9,,0,0,False,,,
Library 1,Bob:8,Carol:11,1660900398219000000,1660900398827000000,mapclosures,True,4.975672942896888,7.996682606968083,3.0210096640711948,True,0.33904254596904676,0.607607410327158,13,,1,0,False,,0.1689946292285502,1.062577480181281
Square 1,Alpha:532,Bob:471,1661157714060000000,1661157714541000000,mapclosures,True,7.802354945390243,4.548343498781297,3.2540114466089456,True,0.3344221680023225,0.6104327601960295,6,,1,0,False,,0.05708095747242707,0.17311411063299179
Square 1,Alpha:532,Carol:498,1661157714060000000,1661157711534000000,megaloc,True,2.860473895817565,5.131590259477094,2.2711163636595293,True,0.33549193298225244,0.5153726708074534,25,,6,0,True,False,0.04600713514363736,0.09340396008714064
Square 1,Alpha:535,Carol:498,1661157716360000000,1661157711534000000,megaloc,True,4.295478504293513,7.079149167503151,2.783670663209638,True,0.337446860370024,0.5267080745341615,19,,7,0,True,False,0.041662733965589636,0.09715463295147843
Square 1,Alpha:538,Carol:498,1661157718560000000,1661157711534000000,megaloc,True,5.764516929313328,8.778406789314934,3.0138898600016057,True,0.3358385161790678,0.5166149068322982,28,,7,0,True,False,0.03417061004051733,0.12220486005997405
Square 1,Alpha:539,Bob:473,1661157719060000000,1661157716941000000,mapclosures,True,3.1805573149123205,0.42673986313676426,2.7538174517755563,True,0.3085404370339242,0.7323035138346631,10,,2,0,False,,0.05057350850362405,0.1744981937203145
Square 1,Alpha:543,Carol:492,1661157724460000000,1661157705634000000,megaloc,True,13.0974288913231,15.719175036909212,2.621746145586112,True,0.34823240541348044,0.4375267742396116,11,,2,0,False,,0.037916672003053487,0.11467063529891497
Square 1,Alpha:543,Carol:513,1661157724460000000,1661157722034000000,mapclosures+megaloc,True,5.66306791581254,3.523024107978193,2.1400438078343473,True,0.3457841300116889,0.492103549332465,7,,3,0,True,False,0.061936039700663796,0.0997639655639297
