iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,44,0,43,0,1.250685,0.225936,0.000363,0.002406,1.764459
2,0,0,0,0,3.064131,0.423893,0.000724,0.000561,3.496937
3,0,0,0,0,1.278811,0.404496,0.000455,0.000397,1.692525
4,0,0,0,0,1.016789,0.277200,0.000503,0.000385,1.302527
5,0,0,0,0,1.529587,0.414587,0.000450,0.000570,1.956180
6,0,0,0,0,1.275639,0.389485,0.000502,0.000409,1.674021
7,0,0,0,0,1.129349,0.368128,0.000567,0.000361,1.505730
8,0,0,0,0,1.105732,0.346110,0.000435,0.000342,1.461003
9,0,0,0,0,0.703006,0.260523,0.000408,0.000374,0.971196
10,0,0,0,0,0.716469,0.199924,0.000330,0.000369,0.922063
11,0,0,0,0,0.691180,0.206960,0.000305,0.000257,0.904367
12,0,0,0,0,0.865241,0.226212,0.000296,0.000307,1.097980
13,0,0,0,0,0.774118,0.256469,0.000437,0.000387,1.037804
14,0,0,0,0,0.754868,0.197077,0.000401,0.000555,0.959834
15,0,0,0,0,1.061254,0.384083,0.000369,0.000277,1.453040
16,0,0,0,0,0.678942,0.223759,0.000547,0.000301,0.908313
17,0,0,0,0,1.225222,0.365280,0.000557,0.000364,1.599017
18,0,0,0,0,1.217139,0.375039,0.000406,0.000391,1.599806
19,0,0,0,0,0.511074,0.165302,0.000295,0.000324,0.681362
20,0,0,0,0,1.470048,0.439527,0.000345,0.000512,1.919706
21,0,0,0,0,0.633032,0.234145,0.000424,0.000303,0.872817
22,0,0,0,0,0.378735,0.166681,0.000368,0.000297,0.549801
23,0,0,0,0,0.641852,0.263543,0.000284,0.000301,0.911174
24,0,0,0,0,0.507329,0.206071,0.000585,0.000300,0.718273
25,0,0,0,0,0.919835,0.305396,0.000573,0.000379,1.233291
26,0,0,0,0,1.125123,0.385291,0.000451,0.000414,1.519054
27,0,0,0,0,0.509635,0.169330,0.000425,0.000237,0.683999
28,0,0,0,0,0.504126,0.197064,0.000342,0.000308,0.706747
29,0,0,0,0,0.915580,0.355644,0.000476,0.000499,1.279256
30,0,0,0,0,0.799924,0.320529,0.000466,0.000453,1.128568
31,0,0,0,0,0.574853,0.209237,0.000313,0.000260,0.790387
32,0,0,0,0,1.126698,0.409303,0.000626,0.000400,1.544922
33,0,0,0,0,0.666894,0.204410,0.000458,0.000258,0.877585
34,0,0,0,0,1.362027,0.414976,0.000708,0.000474,1.787083
35,0,0,0,0,0.443655,0.179140,0.000395,0.000345,0.628571
36,0,0,0,0,0.814687,0.289382,0.000549,0.000341,1.112242
37,0,0,0,0,0.990252,0.394689,0.000519,0.000430,1.394201
38,0,0,0,0,0.932592,0.367901,0.000655,0.000432,1.308849
39,0,0,0,0,0.858618,0.336654,0.000401,0.000419,1.202730
40,0,0,0,0,0.577671,0.176780,0.000282,0.000278,0.760311
41,0,0,0,0,0.808735,0.275959,0.000576,0.000349,1.091688
42,0,0,0,0,0.859538,0.303654,0.000451,0.000355,1.171290
43,0,0,0,0,0.706355,0.273514,0.000617,0.000320,0.986807
44,0,0,0,0,0.458940,0.175256,0.000323,0.000256,0.639208
45,0,0,0,0,0.488377,0.197474,0.000435,0.000290,0.690819
46,0,0,0,0,0.528900,0.202360,0.000569,0.000329,0.736713
47,0,0,0,0,0.905023,0.256366,0.000520,0.000311,1.167772
48,0,0,0,0,0.957912,0.312215,0.000436,0.000383,1.278099
49,0,0,0,0,0.592449,0.171659,0.000284,0.000231,0.769393
50,0,0,0,0,0.768426,0.303005,0.000453,0.000309,1.078207
51,0,0,0,0,0.600552,0.175511,0.000315,0.000266,0.781733
52,0,0,0,0,0.912983,0.379716,0.000431,0.000427,1.301768
53,0,0,0,0,0.949601,0.364039,0.000622,0.000455,1.322120
54,0,0,0,0,1.390090,0.610996,0.000643,0.000583,2.011896
55,0,0,0,0,0.648474,0.263043,0.000428,0.000457,0.917763
56,0,0,0,0,0.424866,0.169008,0.000325,0.000343,0.598375
57,0,0,0,0,0.788740,0.280702,0.000339,0.000357,1.076693
58,0,0,0,0,0.566134,0.210946,0.000219,0.000324,0.783565
59,0,0,0,0,0.839700,0.315514,0.000492,0.000390,1.162307
60,0,0,0,0,0.557329,0.219346,0.000394,0.000296,0.781987
61,0,0,0,0,0.610081,0.250381,0.000406,0.000561,0.866882
62,0,0,0,0,0.963930,0.359477,0.000565,0.000533,1.332312
63,0,0,0,0,0.696954,0.251224,0.000479,0.000307,0.954710
64,0,0,0,0,1.105858,0.384638,0.000442,0.000451,1.499247
65,0,0,0,0,1.085975,0.441718,0.000586,0.000534,1.538651
66,0,0,0,0,1.008036,0.273187,0.000297,0.000412,1.287968
67,0,0,0,0,0.674862,0.254020,0.000425,0.000289,0.934507
68,0,0,0,0,0.807092,0.330507,0.000426,0.000375,1.144915
69,0,0,0,0,0.782434,0.267453,0.000310,0.000356,1.056586
70,0,0,0,0,0.969961,0.390374,0.000451,0.000388,1.370108
71,0,0,0,0,0.653778,0.263893,0.000373,0.000327,0.923731
72,0,0,0,0,0.762385,0.325283,0.000431,0.000349,1.094035
73,0,0,0,0,0.699618,0.228543,0.000401,0.000300,0.933809
74,0,0,0,0,0.568876,0.209920,0.000229,0.000274,0.784380
75,0,0,0,0,0.850376,0.343286,0.000711,0.000560,1.202120
76,0,0,0,0,0.828003,0.313707,0.000520,0.000474,1.148854
77,0,0,0,0,1.119173,0.408588,0.000670,0.000502,1.537892
78,0,0,0,0,1.026969,0.402087,0.000505,0.000451,1.438227
79,0,0,0,0,0.987055,0.386004,0.000484,0.000440,1.381430
80,0,0,0,0,0.897350,0.225096,0.000528,0.000264,1.129779
81,0,0,0,0,0.760821,0.192644,0.000460,0.000268,0.958399
82,0,0,0,0,1.144926,0.472440,0.000800,0.000528,1.629155
83,0,0,0,0,0.735251,0.272336,0.000435,0.000319,1.014263
84,0,0,0,0,0.738771,0.285209,0.000356,0.000401,1.030669
85,0,0,0,0,0.689404,0.279874,0.000476,0.000323,0.976045
86,0,0,0,0,1.180582,0.396028,0.000454,0.000484,1.585433
87,0,0,0,0,0.711672,0.293772,0.000613,0.000460,1.014196
88,0,0,0,0,0.665317,0.252974,0.000374,0.000288,0.923902
89,0,0,0,0,0.966217,0.382040,0.000775,0.000834,1.358821
90,0,0,0,0,1.122228,0.431075,0.000524,0.000526,1.563788
91,0,0,0,0,0.770787,0.308958,0.000502,0.000352,1.086797
92,0,0,0,0,0.633155,0.219940,0.000452,0.000313,0.859523
93,0,0,0,0,1.039668,0.385461,0.000447,0.000388,1.432955
94,0,0,0,0,0.845002,0.377056,0.000638,0.000381,1.230466
95,0,0,0,0,0.373082,0.140721,0.000236,0.000221,0.517783
96,0,0,0,0,0.980873,0.375961,0.000408,0.000412,1.365355
97,0,0,0,0,0.699548,0.268219,0.000339,0.000302,0.974729
98,0,0,0,0,0.835798,0.281480,0.000504,0.000391,1.124523
99,0,0,0,0,0.839566,0.316570,0.000354,0.000365,1.163429
