request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
63,63,99,1,1,6,6,0,local,0.000427,8.824315,0.138208,0.000031,8.962981
64,64,99,1,1,6,6,0,local,0.000061,8.208623,0.139589,0.000033,8.348306
65,65,99,1,1,6,6,0,local,0.000046,9.509425,0.126773,0.000037,9.636281
66,66,99,1,1,6,6,0,local,0.000157,8.494739,0.139764,0.000030,8.634690
67,67,99,1,1,6,6,0,local,0.000330,9.606962,0.144103,0.000030,9.751425
68,68,99,1,1,6,6,0,local,0.000149,11.148640,0.125292,0.000035,11.274116
69,69,99,1,1,6,6,0,local,0.000160,9.424075,0.138169,0.000030,9.562434
70,70,99,0,0,0,4,0,global,0.000143,9.592115,0.072462,0.000029,9.664749
71,71,99,0,0,0,4,0,global,0.000268,8.775396,0.074183,0.000031,8.849878
72,72,99,0,0,0,4,0,global,0.000284,8.327528,0.070768,0.000030,8.398610
73,73,99,0,0,0,4,0,global,0.000156,9.279387,0.076135,0.000030,9.355708
74,74,99,0,0,0,4,0,global,0.000251,11.259665,0.069402,0.000030,11.329348
75,75,99,0,0,0,4,0,global,0.000188,12.233289,0.090277,0.000030,12.323784
76,76,99,0,0,0,4,0,global,0.000069,11.154846,0.059506,0.000033,11.214454
77,77,99,0,0,0,4,0,global,0.000068,8.991208,0.056757,0.000032,9.048065
78,78,99,0,0,0,4,0,global,0.000051,8.108835,0.062325,0.000028,8.171239
79,79,99,0,0,0,4,0,global,0.000256,9.158531,0.079270,0.000031,9.238088
80,80,99,1,1,6,6,0,local,0.000060,8.287667,0.123431,0.000029,8.411187
81,81,99,1,1,6,6,0,local,0.000153,9.043791,0.132739,0.000030,9.176713
82,82,99,1,1,6,6,0,local,0.000204,11.813074,0.145141,0.000035,11.958454
83,83,99,1,1,6,6,0,local,0.000226,8.310426,0.136788,0.000033,8.447473
84,84,99,1,1,6,6,0,local,0.000177,8.596644,0.150663,0.000031,8.747515
85,85,99,1,1,6,6,0,local,0.000065,8.322846,0.129534,0.000030,8.452475
86,86,99,1,1,6,6,0,local,0.000150,8.969922,0.129151,0.000030,9.099253
87,87,99,1,1,6,6,0,local,0.000186,8.656658,0.148253,0.000038,8.805135
88,88,99,1,1,6,6,0,local,0.000166,9.533289,0.143342,0.000041,9.676838
89,89,99,1,1,6,6,0,local,0.000154,8.418422,0.129107,0.000029,8.547712
90,90,99,0,0,0,4,0,global,0.000324,13.561326,0.084371,0.000144,13.646165
91,91,99,0,0,0,4,0,global,0.000250,10.702848,0.070508,0.000030,10.773636
92,92,99,0,0,0,4,0,global,0.000183,10.532876,0.067898,0.000033,10.600990
93,93,99,0,0,0,4,0,global,0.000173,10.021501,0.279171,0.000033,10.300878
94,94,99,0,0,0,4,0,global,0.000258,11.467611,0.080010,0.000035,11.547914
95,95,99,0,0,0,4,0,global,0.000262,8.548212,0.072673,0.000031,8.621178
96,96,99,0,0,0,4,0,global,0.000198,9.222342,0.078471,0.000030,9.301041
97,97,99,0,0,0,4,0,global,0.000101,9.911536,0.065286,0.000031,9.976954
98,98,99,0,0,0,4,0,global,0.000173,8.900364,0.070469,0.000032,8.971038
99,99,99,0,0,0,4,0,global,0.000320,8.597636,0.074151,0.000031,8.672138
